iter	Passed	Remaining
578	2653	1929
579	2657	1924
580	2661	1919
581	2666	1914
582	2670	1910
583	2674	1905
584	2679	1900
585	2684	1896
586	2688	1891
587	2692	1886
588	2697	1881
589	2701	1877
590	2707	1873
591	2711	1868
592	2716	1864
593	2720	1859
594	2726	1855
595	2730	1851
596	2735	1846
597	2741	1842
598	2746	1838
599	2751	1834
600	2756	1829
601	2761	1825
602	2767	1822
603	2772	1817
604	2778	1814
605	2783	1809
606	2788	1805
607	2793	1801
608	2798	1796
609	2802	1791
610	2807	1787
611	2812	1783
612	2816	1778
613	2822	1774
614	2828	1770
615	2832	1765
616	2837	1761
617	2842	1756
618	2846	1752
619	2851	1747
620	2855	1742
621	2859	1738
622	2864	1733
623	2868	1728
624	2873	1724
625	2877	1719
626	2881	1714
627	2886	1709
628	2892	1705
629	2896	1700
630	2903	1697
631	2907	1693
632	2912	1688
633	2916	1683
634	2921	1679
635	2925	1674
636	2929	1669
637	2933	1664
638	2937	1659
639	2941	1654
640	2946	1650
641	2950	1645
642	2954	1640
643	2958	1635
644	2962	1630
645	2966	1625
646	2970	1620
647	2975	1616
648	2980	1611
649	2984	1607
650	2988	1602
651	2992	1597
652	2997	1592
653	3001	1587
654	3005	1583
655	3009	1578
656	3013	1573
657	3018	1568
658	3022	1563
659	3026	1558
660	3030	1553
661	3034	1549
662	3038	1544
663	3042	1539
664	3046	1534
665	3050	1529
666	3054	1525
667	3058	1520
668	3062	1515
669	3066	1510
670	3070	1505
671	3074	1500
672	3078	1495
673	3083	1491
674	3087	1486
675	3091	1481
676	3095	1476
677	3099	1472
678	3104	1467
679	3108	1462
680	3112	1458
681	3116	1453
682	3120	1448
683	3124	1443
684	3129	1439
685	3133	1434
686	3138	1429
687	3142	1425
688	3147	1420
689	3151	1415
690	3155	1411
691	3159	1406
692	3163	1401
693	3168	1396
694	3172	1392
695	3176	1387
696	3180	1382
697	3184	1377
698	3189	1373
699	3193	1368
700	3197	1363
701	3201	1359
702	3205	1354
703	3210	1349
704	3214	1345
705	3218	1340
706	3222	1335
707	3227	1331
708	3231	1326
709	3235	1321
710	3240	1317
711	3244	1312
712	3249	1307
713	3253	1303
714	3257	1298
715	3261	1293
716	3265	1288
717	3269	1284
718	3274	1279
719	3278	1274
720	3282	1270
721	3286	1265
722	3290	1260
723	3294	1256
724	3299	1251
725	3303	1246
726	3307	1241
727	3311	1237
728	3315	1232
729	3319	1227
730	3323	1223
731	3327	1218
732	3331	1213
733	3336	1209
734	3340	1204
735	3344	1199
736	3349	1195
737	3352	1190
738	3356	1185
739	3360	1180
740	3365	1176
741	3369	1171
742	3373	1166
743	3378	1162
744	3383	1158
745	3388	1153
746	3392	1149
747	3397	1144
748	3402	1140
749	3406	1135
750	3411	1131
751	3416	1126
752	3420	1121
753	3424	1117
754	3428	1112
755	3432	1107
756	3437	1103
757	3441	1098
758	3446	1094
759	3450	1089
760	3454	1085
761	3459	1080
762	3463	1075
763	3468	1071
764	3472	1066
765	3477	1062
